Website URL,Country,Categories,Languages,Platform Types,Format Types,Labelled as Sponsored,Link Rel Type,Price,Currency,Publisher Email,Verification Status,Description,Moz DA,Moz PA,Spam Score,SemRush Traffic,SemRush Keywords,SemRush Backlinks,WebsiteMetaIncludedWITHDESCRIPTION
https://espaciomotos.com,Spain,"Motorcycle, Automotive, Lifestyle",Spanish,Blogging Platform,Guest Post,no,Dofollow,80,EUR,clientes@tendenzias.com,Accepted,,,,,,,,yes
https://esoterismos.com,Spain,"Religion, Lifestyle, Culture",Spanish,Blogging Platform,Guest Post,no,Dofollow,80,EUR,clientes@tendenzias.com,Accepted,,,,,,,,yes
https://blogdecoraciones.com,Spain,"Decoration, Home, Interiors",Spanish,Blogging Platform,Guest Post,no,Dofollow,80,EUR,clientes@tendenzias.com,Accepted,,,,,,,,yes
https://guiaytrucos.com,Spain,"Lifestyle, Technology, General",Spanish,Blogging Platform,Guest Post,no,Dofollow,80,EUR,clientes@tendenzias.com,Accepted,,,,,,,,yes
https://blogmedicina.com,Spain,"Medicine, Health, Science",Spanish,Blogging Platform,Guest Post,no,Dofollow,80,EUR,clientes@tendenzias.com,Accepted,,,,,,,,yes
https://blogturistico.com,Spain,"Travel, Tourism, Lifestyle",Spanish,Blogging Platform,Guest Post,no,Dofollow,80,EUR,clientes@tendenzias.com,Accepted,,,,,,,,yes
https://belzia.com,Spain,"Beauty, Fashion, Lifestyle",Spanish,Blogging Platform,Guest Post,no,Dofollow,80,EUR,clientes@tendenzias.com,Accepted,,,,,,,,yes
https://gamelosofy.com,Spain,"Gaming, Technology, Entertainment",Spanish,Blogging Platform,Guest Post,no,Dofollow,80,EUR,clientes@tendenzias.com,Accepted,,,,,,,,yes
https://animalesmascotas.com,Spain,"Pets, Animals, Lifestyle",Spanish,Blogging Platform,Guest Post,no,Dofollow,80,EUR,clientes@tendenzias.com,Accepted,,,,,,,,yes
https://cochesmiticos.com,Spain,"Automotive, Cars, History",Spanish,Blogging Platform,Guest Post,no,Dofollow,80,EUR,clientes@tendenzias.com,Accepted,,,,,,,,yes
https://elgeeky.com,Spain,"Technology, Gaming, Entertainment",Spanish,Blogging Platform,Guest Post,no,Dofollow,80,EUR,clientes@tendenzias.com,Accepted,,,,,,,,yes
https://espaciolujo.com,Spain,"Luxury, Fashion, Lifestyle",Spanish,Blogging Platform,Guest Post,no,Dofollow,80,EUR,clientes@tendenzias.com,Accepted,,,,,,,,yes
https://espaciodeportes.com,Spain,"Sports, Fitness, Lifestyle",Spanish,Blogging Platform,Guest Post,no,Dofollow,80,EUR,clientes@tendenzias.com,Accepted,,,,,,,,yes
https://abdominales.info,Spain,"Fitness, Health, Sports",Spanish,Blogging Platform,Guest Post,no,Dofollow,80,EUR,clientes@tendenzias.com,Accepted,,,,,,,,yes
https://tecnyo.com,Spain,"Technology, Blogging, General",Spanish,Blogging Platform,Guest Post,no,Dofollow,80,EUR,clientes@tendenzias.com,Accepted,,,,,,,,yes
https://blogeconomista.com,Spain,"Economy, Finance, Business",Spanish,Blogging Platform,Guest Post,no,Dofollow,80,EUR,clientes@tendenzias.com,Accepted,,,,,,,,yes
https://demedicina.com,Spain,"Medicine, Health, Science",Spanish,Blogging Platform,Guest Post,no,Dofollow,80,EUR,clientes@tendenzias.com,Accepted,,,,,,,,yes
https://cocheseco.com,Spain,"Automotive, Cars, Environment",Spanish,Blogging Platform,Guest Post,no,Dofollow,80,EUR,clientes@tendenzias.com,Accepted,,,,,,,,yes
https://profreshstyle.com,Spain,"Fashion, Beauty, Lifestyle",Spanish,Blogging Platform,Guest Post,no,Dofollow,80,EUR,clientes@tendenzias.com,Accepted,,,,,,,,yes
https://prensacorazon.com,Spain,"Celebrity, Entertainment, Media",Spanish,Blogging Platform,Guest Post,no,Dofollow,80,EUR,clientes@tendenzias.com,Accepted,,,,,,,,yes
https://blogdelamoto.com,Spain,"Motorcycle, Automotive, Lifestyle",Spanish,Blogging Platform,Guest Post,no,Dofollow,80,EUR,clientes@tendenzias.com,Accepted,,,,,,,,yes
https://tarot.com.es,Spain,"Religion, Lifestyle, Culture",Spanish,Blogging Platform,Guest Post,no,Dofollow,80,EUR,clientes@tendenzias.com,Accepted,,,,,,,,yes
https://cochescompeticion.com,Spain,"Automotive, Cars, Sports",Spanish,Blogging Platform,Guest Post,no,Dofollow,80,EUR,clientes@tendenzias.com,Accepted,,,,,,,,yes
https://ludicos.es,Spain,"Gaming, Entertainment, Kids",Spanish,Blogging Platform,Guest Post,no,Dofollow,80,EUR,clientes@tendenzias.com,Accepted,,,,,,,,yes
https://salud.com.es,Spain,"Health, Wellness, Medicine",Spanish,Blogging Platform,Guest Post,no,Dofollow,80,EUR,clientes@tendenzias.com,Accepted,,,,,,,,yes
https://cochesfuturistas.com,Spain,"Automotive, Cars, Technology",Spanish,Blogging Platform,Guest Post,no,Dofollow,80,EUR,clientes@tendenzias.com,Accepted,,,,,,,,yes
https://colchon.com.es,Spain,"Home, Lifestyle, General",Spanish,Blogging Platform,Guest Post,no,Dofollow,80,EUR,clientes@tendenzias.com,Accepted,,,,,,,,yes
